key	category	source	built-in-simplified	runtime-target
artifact.Leech.description_3	Artifacts	Thus the ruthless were taught to take, that no strength be lost to dust or pity.	由此无情之人被教会夺取，使得任何力量都不会丧失于尘埃或	于是，无情者学会夺取，不让任何力量消散于尘土或怜悯。
artifact.Leech.description_4	Artifacts	For power is the truest mercy, and blessed is the hand that lets nothing die unused. - Codex Umbra	力量是真正的慈悲，不留任何东西的手是幸福的	因为力量才是最真实的仁慈，而不让任何事物无用而死的手必蒙祝福。——翁布拉法典
artifact.Leech.name	Artifacts	Bloodbind		血契
artifact.Mage.description_1	Artifacts	Before the war divided memory, Vitae set the first art into mortal hands as a gift of ordered wonder.	在战争分裂记忆之前，维泰将第一门艺术赋予凡人之手	在战争割裂记忆之前，维泰将最初的法术置于凡人手中，作为秩序奇迹的馈赠。
artifact.Mage.description_2	Artifacts	Flame, frost, stone, and storm were not taught as weapons alone, but as languages through which the world might be understood without being broken.	火焰、严寒、石头和风暴不仅被当作武器来传授，更被当作一种语言	烈焰、寒霜、岩石与风暴不只被教作武器，更是让人不必毁坏世界便能理解它的语言。
artifact.Mage.description_3	Artifacts	Thus the first keepers were taught to cast in reverence, that power and wisdom would rise together instead of parting ways.	因此最初的守护者被教导要虔诚地施法，力量与智慧	于是，最初的守护者学会怀着敬畏施法，使力量与智慧一同成长，而非分道扬镳。
artifact.Mage.description_4	Artifacts	For the oldest magic was never meant to dominate creation, but to speak with it. - Codex Vitae	因为最古老的魔法从未打算统治创造，而是为了与之交谈	因为最古老的魔法从来不是为了支配造物，而是为了与之交谈。——维泰法典
artifact.Mage.name	Artifacts	Arcane Origin		奥术本源
artifact.Magic.description_1	Artifacts	Long before open sanctums and sung prayers, Umbra kept wisdom in wells no eye could sound.	在开放的圣所和诵唱的祈祷出现之前，暗影将智慧保存在不	早在圣所开放、祷歌传唱之前，翁布拉便将智慧藏于目光无法探底的深井。
artifact.Magic.description_2	Artifacts	The deepest arts were not given to the many, but guarded in silence until a will strong enough could draw from them without trembling.	最深奥的艺术并未传于众人，而是被守护在沉寂之中，直到	最深奥的法术并未赐予众人，而是在沉默中受到守护，直至足够强大的意志能毫不颤抖地汲取它们。
artifact.Magic.description_3	Artifacts	Thus the keepers were taught to hide what mattered most, that power might remain pure from the ruin of careless hands.	守护者们被教导要隐藏最重要的东西，使得力量能够	于是，守秘者学会藏起最重要之物，使力量免遭鲁莽之手玷污，始终保持纯粹。
artifact.Magic.description_4	Artifacts	For a secret preserved in darkness endures longer than a truth shouted into the wind. - Codex Umbra	保存在黑暗中的秘密比喊出的真理持续的时间更长	因为保存在黑暗中的秘密，比向风中呼喊的真理更为长久。——翁布拉法典
artifact.Magic.name	Artifacts	Arcanum		奥秘
artifact.Matk.description_1	Artifacts	When lesser minds feared the heavens, Umbra taught the learned to listen when the cosmos spoke in fire.	当低等的心灵害怕天空时,Umbra教会了学者去倾听	当浅薄之人畏惧苍穹，翁布拉教导博学者聆听宇宙以烈火发出的言语。
artifact.Matk.description_2	Artifacts	Wisdom was not given to shield the timid, but to call down wrath with a will refined enough to survive its answer.	智慧不是为了庇护胆小之人，而是为了凭借意志召唤愤怒	智慧并非为庇护怯懦者而赐，而是为了以千锤百炼的意志召下天怒，并承受它的回应。
artifact.Matk.description_3	Artifacts	Thus the magi were taught to trade flesh for brilliance, that mana, warding, and ruin might gather in one disciplined hand.	魔法师们被教导用血肉换取光彩，那魔法、守护、	于是，法师们学会以血肉换取辉光，使法力、防护与毁灭汇聚于一只严守戒律的手中。
artifact.Matk.description_4	Artifacts	For the highest art is not to borrow power safely, but to speak the burning language of the stars and remain standing when they reply. - Codex Umbra	因为最高的艺术不是安全地借用力量，而是说出燃烧的	因为至高法术并非安然借用力量，而是说出群星燃烧的语言，并在它们回应时依然屹立。——翁布拉法典
artifact.Matk.name	Artifacts	Starfire		星火
artifact.Mdef.description_1	Artifacts	When hostile sorcery darkened the air, Vitae raised no boast against it, but a veil through which malice could not easily pass.	当敌对的魔法使空气黯淡时，维泰对此未曾自夸，	当敌对法术令空气昏暗，维泰没有以夸耀抗衡，而是升起一道恶意难以穿透的帷幕。
artifact.Mdef.description_2	Artifacts	True warding was not vengeance, but guardianship, preserving mind, body, and spirit from the reach of powers that sought to bend them from afar.	真正的守护不是复仇，而是保护，维护心灵、身体，	真正的防护并非复仇，而是守望，使心智、躯体与灵魂免受远方扭曲之力的侵袭。
artifact.Mdef.description_3	Artifacts	Thus the watchful were taught to turn aside the unseen, that spellcraft itself might be answered without surrendering to it.	因此守卫者被教导转开无形之物，使得法术本身	于是，警醒者学会拨开无形之力，不向法术屈服，亦能予以回应。
artifact.Mdef.description_4	Artifacts	For mercy is not always the healing hand; sometimes it is the shield that ensures the wound is never made. - Codex Vitae	因为慈悲并非总是治愈之手；有时它是保护的盾牌，	因为慈悲不总是治愈之手；有时，它是让伤口永不出现的盾。——维泰法典
artifact.Mdef.name	Artifacts	Veilward		帷幕守护
artifact.Melee.description_1	Artifacts	When the clash of war broke lesser spirits, Vitae tempered the faithful as iron in a living flame.	当战争的碰撞破碎了较弱的灵魂时，维泰锤炼了信徒如同	当战争的冲撞击溃脆弱的心灵，维泰将信徒置于活焰中，如钢铁般淬炼。
artifact.Melee.description_2	Artifacts	Endurance was not given so they might crush others, but so they would not yield when others depended on them.	耐力不是为了压倒他人，而是为了克制自己	坚韧并非为碾压他人而赐，而是为了在他人依赖他们时绝不退让。
artifact.Melee.description_3	Artifacts	Thus the steadfast were taught to bear the weight of battle without surrender, that courage might hold where fear sought entry.	就这样，坚定不移的人被教导在战斗中毫不屈服地承受重压，	于是，坚定者学会不屈地承受战斗之重，让勇气守住恐惧试图侵入之处。
artifact.Melee.description_4	Artifacts	For the truest heart is not the one that never bleeds, but the one that refuses to break. - Codex Vitae	因为最真实的心不是永不出血的心，而是坚决拒绝的心	因为最真挚的心并非从不流血，而是拒绝破碎。——维泰法典
artifact.Melee.name	Artifacts	Steelheart		钢铁之心
artifact.Movespeed.description_1	Artifacts	When the paths of the world grew tangled, Vitae sent guidance on the breath between leaves.	当世界的道路缠绕在一起时，维塔埃在呼吸中送去了指引	当世间道路纠缠不清，维泰借叶间的微风送来指引。
artifact.Movespeed.description_2	Artifacts	Swiftness was not given for escape alone, but so life might move freely where darkness sought to close its hand.	迅捷不仅被赋予逃脱之用，更是为了让生命能自由地流动到	迅捷并非只为逃离而赐，更为了让生命在黑暗企图合拢手掌之处自由穿行。
artifact.Movespeed.description_3	Artifacts	Thus the fleet were taught to travel lightly, that warning, aid, and hope could arrive before harm.	因此舰队被教导轻装旅行，警告、援助和希望	于是，轻捷者学会轻装疾行，让警告、援助与希望赶在伤害之前抵达。
artifact.Movespeed.description_4	Artifacts	For blessed is the soul that moves like wind, touching many lives without claiming any for its own. - Codex Vitae	幸哉乎灵魂如风而动，触及众多生命而无	因为如风般移动的灵魂必蒙祝福：触及无数生命，却不将任何一个据为己有。——维泰法典
artifact.Movespeed.name	Artifacts	Windborne		御风
artifact.Mp.description_1	Artifacts	Before the names of spells were written, Vitae moved through the world as a current unseen yet generous.	在咒语的名字被记录之前，Vitae 在世界中以	在法术之名被写下以前，维泰便如无形而慷慨的洪流，行遍世间。
artifact.Mp.description_2	Artifacts	The wise were not told to possess it, but to open themselves as conduits, that wonder might pass through mortal hands without being diminished.	智者被告知的不是拥有它，而是将自己作为通道打开，	智者受教的并非将它据为己有，而是敞开自身成为导流，使奇迹经凡人之手流过而不受减损。
artifact.Mp.description_3	Artifacts	Thus the gifted were taught to receive and release in equal measure, that power remain living instead of still.	因此天赋异禀者被教导以等量的方式接受和释放，而	于是，天赋者学会等量接纳与释放，使力量保持鲜活，而非归于沉寂。
artifact.Mp.description_4	Artifacts	For the purest vessel is not the one that hoards the light, but the one through which it continues. - Codex Vitae	因为最纯净的容器不是囤积光芒的，而是能够	因为最纯粹的容器并非囤积光明之物，而是让光明得以延续之物。——维泰法典
artifact.Mp.name	Artifacts	Aethercore		以太核心
artifact.Necromancer_1.description_1	Artifacts	When the grave refused to keep its counsel, Umbra taught the Necromancer to listen.	当坟墓拒绝保守秘密时，暗影教导了死灵法师	当坟墓不再缄默，翁布拉教会死灵法师倾听。
